Benchmark Year,Month,Town,Metric,Value
2019,Dec 2019,ANDOVER,Labor Force,1975
2019,Dec 2019,ANSONIA,Labor Force,9290
2019,Dec 2019,ASHFORD,Labor Force,2628
2019,Dec 2019,AVON,Labor Force,9605
2019,Dec 2019,BARKHAMSTED,Labor Force,2339
2019,Dec 2019,BEACON FALLS,Labor Force,3597
2019,Dec 2019,BERLIN,Labor Force,12020
2019,Dec 2019,BETHANY,Labor Force,3182
2019,Dec 2019,BETHEL,Labor Force,10976
2019,Dec 2019,BETHLEHEM,Labor Force,1987
2019,Dec 2019,BLOOMFIELD,Labor Force,12055
2019,Dec 2019,BOLTON,Labor Force,3226
2019,Dec 2019,BOZRAH,Labor Force,1433
2019,Dec 2019,BRANFORD,Labor Force,16442
2019,Dec 2019,BRIDGEPORT,Labor Force,69103
2019,Dec 2019,BRIDGEWATER,Labor Force,842
2019,Dec 2019,BRISTOL,Labor Force,33592
2019,Dec 2019,BROOKFIELD,Labor Force,9391
2019,Dec 2019,BROOKLYN,Labor Force,4202
2019,Dec 2019,BURLINGTON,Labor Force,5812
2019,Dec 2019,CANAAN,Labor Force,640
2019,Dec 2019,CANTERBURY,Labor Force,2931
2019,Dec 2019,CANTON,Labor Force,5830
2019,Dec 2019,CHAPLIN,Labor Force,1274
2019,Dec 2019,CHESHIRE,Labor Force,16031
2019,Dec 2019,CHESTER,Labor Force,2399
2019,Dec 2019,CLINTON,Labor Force,7425
2019,Dec 2019,COLCHESTER,Labor Force,9605
2019,Dec 2019,COLEBROOK,Labor Force,829
2019,Dec 2019,COLUMBIA,Labor Force,3295
2019,Dec 2019,CORNWALL,Labor Force,775
2019,Dec 2019,COVENTRY,Labor Force,7993
2019,Dec 2019,CROMWELL,Labor Force,8117
2019,Dec 2019,DANBURY,Labor Force,47624
2019,Dec 2019,DARIEN,Labor Force,8704
2019,Dec 2019,DEEP RIVER,Labor Force,2911
2019,Dec 2019,DERBY,Labor Force,6735
2019,Dec 2019,DURHAM,Labor Force,4369
2019,Dec 2019,EAST GRANBY,Labor Force,3133
2019,Dec 2019,EAST HADDAM,Labor Force,5095
2019,Dec 2019,EAST HAMPTON,Labor Force,7865
2019,Dec 2019,EAST HARTFORD,Labor Force,27518
2019,Dec 2019,EAST HAVEN,Labor Force,16095
2019,Dec 2019,EAST LYME,Labor Force,8647
2019,Dec 2019,EAST WINDSOR,Labor Force,6651
2019,Dec 2019,EASTFORD,Labor Force,1016
2019,Dec 2019,EASTON,Labor Force,3870
2019,Dec 2019,ELLINGTON,Labor Force,9701
2019,Dec 2019,ENFIELD,Labor Force,23533
2019,Dec 2019,ESSEX,Labor Force,3475
2019,Dec 2019,FAIRFIELD,Labor Force,29663
2019,Dec 2019,FARMINGTON,Labor Force,14483
2019,Dec 2019,FRANKLIN,Labor Force,1081
2019,Dec 2019,GLASTONBURY,Labor Force,19388
2019,Dec 2019,GOSHEN,Labor Force,1660
2019,Dec 2019,GRANBY,Labor Force,7005
2019,Dec 2019,GREENWICH,Labor Force,29173
2019,Dec 2019,GRISWOLD,Labor Force,6283
2019,Dec 2019,GROTON,Labor Force,18259
2019,Dec 2019,GUILFORD,Labor Force,13234
2019,Dec 2019,HADDAM,Labor Force,5150
2019,Dec 2019,HAMDEN,Labor Force,36062
2019,Dec 2019,HAMPTON,Labor Force,1073
2019,Dec 2019,HARTFORD,Labor Force,53394
2019,Dec 2019,HARTLAND,Labor Force,1177
2019,Dec 2019,HARWINTON,Labor Force,3264
2019,Dec 2019,HEBRON,Labor Force,5669
2019,Dec 2019,KENT,Labor Force,1506
2019,Dec 2019,KILLINGLY,Labor Force,9744
2019,Dec 2019,KILLINGWORTH,Labor Force,3901
2019,Dec 2019,LEBANON,Labor Force,4164
2019,Dec 2019,LEDYARD,Labor Force,7963
2019,Dec 2019,LISBON,Labor Force,2351
2019,Dec 2019,LITCHFIELD,Labor Force,4821
2019,Dec 2019,LYME,Labor Force,1206
2019,Dec 2019,MADISON,Labor Force,9299
2019,Dec 2019,MANCHESTER,Labor Force,33482
2019,Dec 2019,MANSFIELD,Labor Force,12859
2019,Dec 2019,MARLBOROUGH,Labor Force,3673
2019,Dec 2019,MERIDEN,Labor Force,32639
2019,Dec 2019,MIDDLEBURY,Labor Force,3999
2019,Dec 2019,MIDDLEFIELD,Labor Force,2603
2019,Dec 2019,MIDDLETOWN,Labor Force,26440
2019,Dec 2019,MILFORD,Labor Force,30822
2019,Dec 2019,MONROE,Labor Force,10149
2019,Dec 2019,MONTVILLE,Labor Force,9199
2019,Dec 2019,MORRIS,Labor Force,1421
2019,Dec 2019,NAUGATUCK,Labor Force,17446
2019,Dec 2019,NEW BRITAIN,Labor Force,37127
2019,Dec 2019,NEW CANAAN,Labor Force,8432
2019,Dec 2019,NEW FAIRFIELD,Labor Force,7167
2019,Dec 2019,NEW HARTFORD,Labor Force,4026
2019,Dec 2019,NEW HAVEN,Labor Force,65459
2019,Dec 2019,NEW LONDON,Labor Force,12056
2019,Dec 2019,NEW MILFORD,Labor Force,15322
2019,Dec 2019,NEWINGTON,Labor Force,17529
2019,Dec 2019,NEWTOWN,Labor Force,14225
