Area Type,Area Name,Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,1,00-0000,"Total, All Occupations",1639300,1939100,299800,18.3,756830,1176490,2233120,23.77,"49,454",N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,2,11-0000,Management Occupations,129900,155310,25410,19.6,33250,78020,136680,62.23,"129,441",N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,11-1000,Top Executives,32980,38490,5510,16.7,7460,21180,34150,0.00,0,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-1011,Chief Executives,4410,4420,10,0.2,1200,1780,2990,0.00,0,Bachelor's degree,5 years or more,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-1021,General and Operations Managers,28450,33950,5500,19.3,6230,19350,31080,54.56,"113,483",Bachelor's degree,5 years or more,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",14660,17260,2600,17.7,3230,10060,15890,0.00,0,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-2011,Advertising and Promotions Managers,290,360,70,24.1,60,250,380,54.49,"113,337",Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-2021,Marketing Managers,4430,5250,820,18.5,970,3050,4840,70.09,"145,786",Bachelor's degree,5 years or more,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-2022,Sales Managers,9280,10840,1560,16.8,2010,6340,9910,62.95,"130,942",Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-2030,Public Relations and Fundraising Managers,660,800,140,21.2,190,410,740,0.00,0,Bachelor's degree,5 years or more,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,11-3000,Operations Specialties Managers,32900,39420,6520,19.8,7550,18980,33050,0.00,0,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-3010,Administrative Services and Facilities Managers,5280,6190,910,17.2,1630,2860,5400,0.00,0,Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-3021,Computer and Information Systems Managers,7570,8770,1200,15.9,1330,4640,7170,81.23,"168,951",Bachelor's degree,5 years or more,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-3031,Financial Managers,11510,14580,3070,26.7,2670,6550,12290,75.19,"156,395",Bachelor's degree,5 years or more,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-3051,Industrial Production Managers,2690,2930,240,8.9,540,1330,2110,51.45,"107,021",Bachelor's degree,5 years or more,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-3061,Purchasing Managers,870,990,120,13.8,200,500,820,63.10,"131,231",Bachelor's degree,5 years or more,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-3071,"Transportation, Storage, and Distribution Managers",1860,2250,390,21.0,390,1130,1910,49.17,"102,287",High school diploma or equivalent,5 years or more,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-3111,Compensation and Benefits Managers,210,230,20,9.5,50,110,180,65.30,"135,833",Bachelor's degree,5 years or more,None
