"Area Name","Area Type","Year","Month","Seasonally Adjusted(Y/N)","Status","Labor Force","Employment","Unemployment","Unemployment Rate"
"California","State","1990","Annual","N","Final","15141700","14267900","873800","5.8"
"Alameda County","County","1990","Annual","N","Final","677200","649800","27400","4"
"Alpine County","County","1990","Annual","N","Final","380","340","40","9.6"
"Amador County","County","1990","Annual","N","Final","11450","10860","590","5.2"
"Butte County","County","1990","Annual","N","Final","78800","72200","6600","8.4"
"Calaveras County","County","1990","Annual","N","Final","13440","12530","910","6.8"
"Colusa County","County","1990","Annual","N","Final","8000","6860","1140","14.2"
"Contra Costa County","County","1990","Annual","N","Final","435200","417800","17400","4"
"Del Norte County","County","1990","Annual","N","Final","9610","8450","1150","12"
"El Dorado County","County","1990","Annual","N","Final","63800","61000","2800","4.5"
"Fresno County","County","1990","Annual","N","Final","328500","290400","38100","11.6"
"Glenn County","County","1990","Annual","N","Final","11250","9840","1400","12.4"
"Humboldt County","County","1990","Annual","N","Final","56200","51800","4400","7.9"
"Imperial County","County","1990","Annual","N","Final","47300","35200","12000","25.4"
"Inyo County","County","1990","Annual","N","Final","7010","6510","500","7.1"
"Kern County","County","1990","Annual","N","Final","256700","228800","27900","10.9"
"Kings County","County","1990","Annual","N","Final","37600","33400","4200","11.2"
"Lake County","County","1990","Annual","N","Final","19970","18200","1770","8.8"
"Lassen County","County","1990","Annual","N","Final","9980","9000","980","9.8"
"Los Angeles County","County","1990","Annual","N","Final","4505200","4237800","267300","5.9"
"Madera County","County","1990","Annual","N","Final","41500","35900","5600","13.4"
"Marin County","County","1990","Annual","N","Final","131900","128500","3300","2.5"
"Mariposa County","County","1990","Annual","N","Final","6770","6390","380","5.6"
"Mendocino County","County","1990","Annual","N","Final","38730","35790","2950","7.6"
"Merced County","County","1990","Annual","N","Final","76900","67000","9800","12.8"
"Modoc County","County","1990","Annual","N","Final","3760","3400","360","9.6"
"Mono County","County","1990","Annual","N","Final","5720","5380","340","5.9"
"Monterey County","County","1990","Annual","N","Final","172700","156000","16600","9.6"
"Napa County","County","1990","Annual","N","Final","56400","54100","2300","4.1"
"Nevada County","County","1990","Annual","N","Final","36020","34290","1730","4.8"
"Orange County","County","1990","Annual","N","Final","1352700","1305500","47100","3.5"
"Placer County","County","1990","Annual","N","Final","89500","85800","3800","4.2"
"Plumas County","County","1990","Annual","N","Final","9470","8530","940","9.9"
"Riverside County","County","1990","Annual","N","Final","536400","498100","38300","7.1"
"Sacramento County","County","1990","Annual","N","Final","522100","498300","23900","4.6"
"San Benito County","County","1990","Annual","N","Final","20900","18400","2500","12.1"
"San Bernardino County","County","1990","Annual","N","Final","635000","599300","35600","5.6"
"San Diego County","County","1990","Annual","N","Final","1214800","1158700","56000","4.6"
"San Francisco County","County","1990","Annual","N","Final","409300","393900","15400","3.8"
"San Joaquin County","County","1990","Annual","N","Final","227000","204500","22400","9.9"
"San Luis Obispo County","County","1990","Annual","N","Final","99700","95100","4600","4.6"
"San Mateo County","County","1990","Annual","N","Final","370100","360500","9700","2.6"
"Santa Barbara County","County","1990","Annual","N","Final","192500","183100","9400","4.9"
"Santa Clara County","County","1990","Annual","N","Final","852100","818500","33700","4"
"Santa Cruz County","County","1990","Annual","N","Final","135600","125900","9700","7.2"
"Shasta County","County","1990","Annual","N","Final","67700","61800","5800","8.6"
"Sierra County","County","1990","Annual","N","Final","1630","1450","180","10.9"
"Siskiyou County","County","1990","Annual","N","Final","19430","17060","2360","12.2"
"Solano County","County","1990","Annual","N","Final","164800","157000","7900","4.8"
"Sonoma County","County","1990","Annual","N","Final","206200","198300","8000","3.9"
"Stanislaus County","County","1990","Annual","N","Final","180300","159000","21300","11.8"
"Sutter County","County","1990","Annual","N","Final","33100","28500","4700","14.1"
"Tehama County","County","1990","Annual","N","Final","19920","17930","1990","10"
"Trinity County","County","1990","Annual","N","Final","5340","4680","660","12.4"
"Tulare County","County","1990","Annual","N","Final","145700","127800","17900","12.3"
"Tuolumne County","County","1990","Annual","N","Final","19860","18530","1330","6.7"
"Ventura County","County","1990","Annual","N","Final","366500","345400","21100","5.7"
"Yolo County","County","1990","Annual","N","Final","74000","68900","5100","6.8"
"Yuba County","County","1990","Annual","N","Final","22100","19800","2400","10.6"
"Anaheim-Santa Ana-Irvine MD","Metropolitan Area","1990","Annual","N","Final","1352700","1305500","47100","3.5"
"Bakersfield MSA","Metropolitan Area","1990","Annual","N","Final","256700","228800","27900","10.9"
"Chico MSA","Metropolitan Area","1990","Annual","N","Final","78800","72200","6600","8.4"
"El Centro MSA","Metropolitan Area","1990","Annual","N","Final","47300","35200","12000","25.4"
